arm,seed,final_loss,final_accuracy,final_mse,selected_primitives,programs,utility_evaluations,pair_events,ever_covered_fraction,time_to_full_coverage
I0-exact,2b7e151628aed2a6,0.01338627,1.00000000,0.00056536,2584,1330,4087314,34096,1.00000000,27
I0-exact,77a19d3c4e280b51,0.01338627,1.00000000,0.00056536,2369,1235,4010765,33336,1.00000000,27
I0-exact,1111222233334444,0.01398539,1.00000000,0.00056681,2025,1035,3823083,32008,1.00000000,27
I1-additive,2b7e151628aed2a6,0.35175672,1.00000000,0.09469561,810,417,628518,27152,1.00000000,27
I1-additive,77a19d3c4e280b51,0.37280685,1.00000000,0.09906334,855,441,631246,27344,1.00000000,27
I1-additive,1111222233334444,0.35691041,1.00000000,0.09745338,774,396,624646,27024,1.00000000,27
I2-anchor-cross-term,2b7e151628aed2a6,0.26504090,1.00000000,0.06080521,1068,549,678131,28168,1.00000000,27
I2-anchor-cross-term,77a19d3c4e280b51,0.30880219,1.00000000,0.07432038,934,482,665110,27664,1.00000000,27
I2-anchor-cross-term,1111222233334444,0.33804849,1.00000000,0.08799417,775,397,650982,27024,1.00000000,27
I3-conditional-beam,2b7e151628aed2a6,0.01521691,1.00000000,0.00057579,2637,1354,2714263,34344,1.00000000,27
I3-conditional-beam,77a19d3c4e280b51,0.01477600,1.00000000,0.00057189,2608,1351,2711614,34256,1.00000000,27
I3-conditional-beam,1111222233334444,0.01398996,1.00000000,0.00056682,2156,1107,2544187,32456,1.00000000,27
I4-cartesian-beam,2b7e151628aed2a6,0.01966262,1.00000000,0.00064398,2152,1129,1031474,32496,1.00000000,28
I4-cartesian-beam,77a19d3c4e280b51,0.01393788,1.00000000,0.00056659,2185,1131,1028046,32528,1.00000000,27
I4-cartesian-beam,1111222233334444,0.01398771,1.00000000,0.00056682,2307,1207,1047041,33176,1.00000000,27
I5-sampled,2b7e151628aed2a6,0.01561253,1.00000000,0.00057996,2779,1450,1534800,35008,1.00000000,28
I5-sampled,77a19d3c4e280b51,0.01398997,1.00000000,0.00056683,3009,1542,1559351,35808,1.00000000,27
I5-sampled,1111222233334444,0.01359273,1.00000000,0.00056555,3029,1571,1575653,36072,1.00000000,27
