arm,seed,groups,ranked_groups,top_choice_agreement,improving_fraction,mean_exact_regret,max_exact_regret,mean_selected_exact_rank,utility_correlation,utility_bias,utility_mae,sign_error_fraction,cross_block_order_accuracy,first_choice_divergence_epoch,first_large_regret_epoch,final_loss_gap,final_parameter_l2,cumulative_exact_regret
I0-exact,2b7e151628aed2a6,688,158,1.00000000,0.22965117,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,,,0.00000000,0.00000000,0.00000000
I0-exact,77a19d3c4e280b51,688,162,1.00000000,0.23546511,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,,,0.00000000,0.00000000,0.00000000
I0-exact,1111222233334444,688,162,1.00000000,0.23546511,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,,,0.00000000,0.00000000,0.00000000
I1-additive,2b7e151628aed2a6,688,153,0.94331396,0.22238372,0.00008198,0.00544032,1.51633990,0.99997318,0.00000003,0.00000037,0.00000000,0.95681065,7,8,0.33837044,10.27323532,0.05640560
I1-additive,77a19d3c4e280b51,688,154,0.94622093,0.22383721,0.00011859,0.00495657,1.24025977,0.99998015,0.00000002,0.00000034,0.00000000,0.96553159,5,9,0.35942057,10.46003151,0.08158839
I1-additive,1111222233334444,688,149,0.93313956,0.21656977,0.00014747,0.00548813,1.60402679,0.99996191,0.00000001,0.00000040,0.00000000,0.93438536,1,7,0.34292501,5.93351936,0.10145983
I2-anchor-cross-term,2b7e151628aed2a6,688,160,0.96220928,0.23255815,0.00005448,0.00463358,1.17499995,1.00000000,0.00000000,0.00000000,0.00000000,0.96719271,8,9,0.25165462,7.16316414,0.03748286
I2-anchor-cross-term,77a19d3c4e280b51,688,157,0.94186044,0.22819768,0.00012278,0.00482067,1.04458594,1.00000000,-0.00000000,0.00000000,0.00000000,0.95556480,9,9,0.29541591,10.40689659,0.08447173
I2-anchor-cross-term,1111222233334444,688,158,0.93459302,0.22965117,0.00013012,0.00469881,1.56962025,1.00000000,0.00000000,0.00000000,0.00000000,0.93812293,1,7,0.32406309,5.85700655,0.08952343
I3-conditional-beam,2b7e151628aed2a6,688,165,0.99418604,0.23982558,0.00000049,0.00009370,1.14545453,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,700,,0.00183064,3.47589135,0.00033626
I3-conditional-beam,77a19d3c4e280b51,688,159,0.99854654,0.23110466,0.00000008,0.00005558,1.03773582,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,2550,,0.00138973,3.28846431,0.00005558
I3-conditional-beam,1111222233334444,688,160,1.00000000,0.23255815,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,,,0.00000457,0.00176410,0.00000000
I4-cartesian-beam,2b7e151628aed2a6,688,157,0.97529072,0.22819768,0.00000858,0.00271136,1.32484078,1.00000000,0.00000000,0.00000000,0.00000000,0.98255813,6,14,0.00627635,4.05809927,0.00590544
I4-cartesian-beam,77a19d3c4e280b51,688,160,0.97965115,0.23255815,0.00001258,0.00262046,1.36249995,1.00000000,0.00000000,0.00000000,0.00000000,0.98712623,9,9,0.00055161,11.28742218,0.00865284
I4-cartesian-beam,1111222233334444,688,164,0.97965115,0.23837209,0.00001629,0.00239342,1.39634144,1.00000000,0.00000000,0.00000000,0.00000000,0.98754156,1,7,0.00000232,0.00124764,0.01120731
I5-sampled,2b7e151628aed2a6,688,161,0.98837209,0.23401164,0.00000725,0.00271136,1.35403728,1.00000000,0.00000000,0.00000000,0.00000000,0.99667776,6,14,0.00222626,3.62042809,0.00498936
I5-sampled,77a19d3c4e280b51,688,170,0.97529072,0.24709302,0.00001312,0.00262046,1.78235292,1.00000000,0.00000000,0.00000000,0.00000000,0.99543190,9,9,0.00060371,11.35220814,0.00902480
I5-sampled,1111222233334444,688,169,0.97965115,0.24563953,0.00001098,0.00158507,1.63313615,1.00000000,0.00000000,0.00000000,0.00000000,0.99252492,1,7,-0.00039266,0.62570798,0.00755201
