dataset_index,initialization_index,stream_seed,arm,hash_partition_id,evidence_round,slot_start,partition_epoch,partition_fingerprint,panel_fingerprint,proposal_fingerprint,verifier_examples,panel_ns,quota_valid
0,0,a303ea0000000001,projected_order_1d,,0,0,0,661e415eabee640d,1164e7381adf576e,26a2da1bd995bf43,48,5400,true
0,0,a303ea0000000001,projected_order_1d,,1,4,0,661e415eabee640d,c3c2f84054d72cfd,dcb49605b37a08ff,48,2100,true
0,0,a303ea0000000001,projected_order_1d,,2,8,0,661e415eabee640d,8ba53fc7654a9148,e53fc153846d7741,48,2200,true
0,0,a303ea0000000001,projected_order_1d,,3,12,0,661e415eabee640d,7d26c76c8f270f9f,387393bcadbef48d,48,2300,true
0,0,a303ea0000000001,projected_order_1d,,4,16,0,661e415eabee640d,9b866dfe10e4d99a,f12277795c31aea8,48,2200,true
0,0,a303ea0000000001,projected_order_1d,,5,20,0,661e415eabee640d,0e25248a39920e67,d4ce2612afa7be47,48,1900,true
0,0,a303ea0000000001,projected_order_1d,,6,24,0,661e415eabee640d,0834e7d9584a6bfe,0788cb09847217c8,48,1600,true
0,0,a303ea0000000001,projected_order_1d,,7,28,0,661e415eabee640d,4cd5ca7d9b7edff7,678a234453685419,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,8,32,0,661e415eabee640d,f5d5be1697174dfe,908cf73251b7a13e,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,9,36,0,661e415eabee640d,71d766009334211b,9d9c6718990caa56,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,10,40,0,661e415eabee640d,50a1d5f6daa46628,770e5dfdaf409e26,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,11,44,0,661e415eabee640d,8a08a76b13c08339,9cbe0ff715fac1cc,48,2300,true
0,0,a303ea0000000001,projected_order_1d,,12,48,0,661e415eabee640d,4d6d1e29a6cca7b9,6ff9aff6119da536,48,1700,true
0,0,a303ea0000000001,projected_order_1d,,13,52,0,661e415eabee640d,8efa9509f7e17d85,bde19d5fd1dd2eed,48,1200,true
0,0,a303ea0000000001,projected_order_1d,,14,56,0,661e415eabee640d,7fa35dc3aabfda67,7903f45a57117f1d,48,2300,true
0,0,a303ea0000000001,projected_order_1d,,15,60,0,661e415eabee640d,670e5cb00cd8fb8a,899996925362a3be,48,1600,true
0,0,a303ea0000000001,projected_order_1d,,16,64,0,661e415eabee640d,9390d53870222546,c59d40dc11ffe111,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,17,68,0,661e415eabee640d,53be43907723c3fb,29fe50443ae095bb,48,1500,true
0,0,a303ea0000000001,projected_order_1d,,18,72,0,661e415eabee640d,369e29c229651a6d,5b5402f6f4f1023d,48,1500,true
0,0,a303ea0000000001,projected_order_1d,,19,76,0,661e415eabee640d,a12b161f764a785a,287a79ee3d84067f,48,2200,true
0,0,a303ea0000000001,projected_order_1d,,20,80,0,661e415eabee640d,d2f6b4732c679b8e,75148f3ee0ba53ff,48,1800,true
0,0,a303ea0000000001,projected_order_1d,,21,84,0,661e415eabee640d,f45179df0cca4bb2,d216b1ce6cd57c29,48,1600,true
0,0,a303ea0000000001,projected_order_1d,,22,88,0,661e415eabee640d,134f5b690e2aecc4,6a3fcb6b33d2c8bd,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,23,92,0,661e415eabee640d,52f694e51fed0100,f6550eabfe967522,48,900,true
0,0,a303ea0000000001,projected_order_1d,,24,96,0,661e415eabee640d,83c7797d8e6bb408,544f5449af7f9579,48,1200,true
0,0,a303ea0000000001,projected_order_1d,,25,100,100,bca257729a31370d,68b5a618cf60f2d8,02b2577db415f0c9,48,1800,true
0,0,a303ea0000000001,projected_order_1d,,26,104,100,bca257729a31370d,1b583a70d3523fbe,be6d0429e3bcab22,48,1800,true
0,0,a303ea0000000001,projected_order_1d,,27,108,100,bca257729a31370d,ce357d90b579112c,6be50337b8a60ff3,48,1600,true
0,0,a303ea0000000001,projected_order_1d,,28,112,100,bca257729a31370d,da457656deaf958f,9aa7194bd7a6b349,48,1700,true
0,0,a303ea0000000001,projected_order_1d,,29,116,100,bca257729a31370d,4fa77ea789642cf5,6d7e9fef89efb1e2,48,1500,true
0,0,a303ea0000000001,projected_order_1d,,30,120,100,bca257729a31370d,92b038ed2365044f,c07c8ecc6b928e52,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,31,124,100,bca257729a31370d,9a53d5ec2585f486,5c8646900ba27cfd,48,1000,true
0,0,a303ea0000000001,projected_order_1d,,32,128,100,bca257729a31370d,a14fd2e6ce3ba3b7,10d7736aae74909e,48,1000,true
0,0,a303ea0000000001,projected_order_1d,,33,132,100,bca257729a31370d,1888e32eea37e77e,c3851329e735b6e0,48,900,true
0,0,a303ea0000000001,projected_order_1d,,34,136,100,bca257729a31370d,b802cb4be11c82ba,540e4ad80e3c597f,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,35,140,100,bca257729a31370d,b0c97e8b41e1df92,e19527fdd5488457,48,1200,true
0,0,a303ea0000000001,projected_order_1d,,36,144,100,bca257729a31370d,2ae855de3a4159a2,37eb55e8432a4721,48,1100,true
0,0,a303ea0000000001,projected_order_1d,,37,148,100,bca257729a31370d,fabb71c7b2c4db92,a17dab7dff15cfe1,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,38,152,100,bca257729a31370d,943b01fd51b696b4,dd8e0c1902981260,48,2900,true
0,0,a303ea0000000001,projected_order_1d,,39,156,100,bca257729a31370d,c8d717b722bae227,37f5a780eb250d1b,48,1700,true
0,0,a303ea0000000001,projected_order_1d,,40,160,100,bca257729a31370d,ebcba7370bebbe5e,c125f0e66f3ad238,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,41,164,100,bca257729a31370d,f38b05ef5a744196,abb2332543e26635,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,42,168,100,bca257729a31370d,5c6f14617e2dbe27,e93c953ed2050774,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,43,172,100,bca257729a31370d,bc1f53e8f466eb6d,e65e82b7e3af7d09,48,1600,true
0,0,a303ea0000000001,projected_order_1d,,44,176,100,bca257729a31370d,0e09a0fc781bde61,5ba1307adf20ee65,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,45,180,100,bca257729a31370d,9b3dcef25ce9a425,39ed4ef5fddb4a41,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,46,184,100,bca257729a31370d,92f8f6821edc002d,f587b03cd6642993,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,47,188,100,bca257729a31370d,181979e96cbc6aea,281d932e627a7d47,48,2300,true
0,0,a303ea0000000001,projected_order_1d,,48,192,100,bca257729a31370d,5655660c6e759ce7,6db9b8328c4e016b,48,2100,true
0,0,a303ea0000000001,projected_order_1d,,49,196,100,bca257729a31370d,afe2cc416b2f4493,979c1792b78d6d15,48,1800,true
0,0,a303ea0000000001,projected_order_1d,,50,200,200,f3a9ab10cea29705,bf4b7000d2b22e10,60d127a562ed93be,48,1900,true
0,0,a303ea0000000001,projected_order_1d,,51,204,200,f3a9ab10cea29705,00c36ef727d8c5bf,69f7415e65668f98,48,2300,true
0,0,a303ea0000000001,projected_order_1d,,52,208,200,f3a9ab10cea29705,ce607b5d1bc43a5b,4d303410123b6e0a,48,1800,true
0,0,a303ea0000000001,projected_order_1d,,53,212,200,f3a9ab10cea29705,8029c3b02e8ccf59,bd482157a18a75be,48,1600,true
0,0,a303ea0000000001,projected_order_1d,,54,216,200,f3a9ab10cea29705,3fe27467041892f0,8b268c0999c1d4ac,48,1500,true
0,0,a303ea0000000001,projected_order_1d,,55,220,200,f3a9ab10cea29705,f06b52a8ddc55bd2,67388ce956e191de,48,1700,true
0,0,a303ea0000000001,projected_order_1d,,56,224,200,f3a9ab10cea29705,71413148c353db3e,08e08e506cd4d317,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,57,228,200,f3a9ab10cea29705,a9a4e9287b11baf5,74b646d6edd29c29,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,58,232,200,f3a9ab10cea29705,29bad1e052ced783,c93fe2ff0fa27b5a,48,1600,true
0,0,a303ea0000000001,projected_order_1d,,59,236,200,f3a9ab10cea29705,a2b22a8d4363ecf3,61b7dd8973358cef,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,60,240,200,f3a9ab10cea29705,5b974171ecbd0bad,9aea90511803c754,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,61,244,200,f3a9ab10cea29705,058d4fd8d3b95eb7,35c31ce7f6ba76cd,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,62,248,200,f3a9ab10cea29705,44b1356f4fece5af,6088001ec5c8b771,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,63,252,200,f3a9ab10cea29705,d05496fab560ff0e,793fe391832e0c90,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,64,256,200,f3a9ab10cea29705,3fb7f809072a76aa,a4dce866603a4d1e,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,65,260,200,f3a9ab10cea29705,e70fa3dc0e0bd7c7,c21bd42585a309e8,48,1500,true
0,0,a303ea0000000001,projected_order_1d,,66,264,200,f3a9ab10cea29705,d6beb6e899a48dc5,012a73b950b2d624,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,67,268,200,f3a9ab10cea29705,bdbf058b523606ee,9ab40315d155ff61,48,1200,true
0,0,a303ea0000000001,projected_order_1d,,68,272,200,f3a9ab10cea29705,eda530efaec11c6d,7a0f748fa258332d,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,69,276,200,f3a9ab10cea29705,09bfbaeafdccd37f,d767c30cdfb6fc1f,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,70,280,200,f3a9ab10cea29705,24ada28382176604,342198062e4d40aa,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,71,284,200,f3a9ab10cea29705,a8f6f1240a49d254,a3eb307695d0ed40,48,1800,true
0,0,a303ea0000000001,projected_order_1d,,72,288,200,f3a9ab10cea29705,f213260c7acf2891,bfb9d4d2bf884a58,48,1300,true
0,0,a303ea0000000001,projected_order_1d,,73,292,200,f3a9ab10cea29705,8238aa70c24663b0,dff9d47b5add7213,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,74,296,200,f3a9ab10cea29705,35e6e405e1293833,8030bcd17f36ba9e,48,1400,true
0,0,a303ea0000000001,projected_order_1d,,75,300,300,498e527c0abd7fed,8582d09e0dad709a,7faee9a75746091f,48,2500,true
0,0,a303ea0000000001,projected_order_1d,,76,304,300,498e527c0abd7fed,0f6aa19e052b5548,dbd9fc35262a910f,48,2700,true
0,0,a303ea0000000001,projected_order_1d,,77,308,300,498e527c0abd7fed,edd7de284db6fbfe,5bf76ca31c99e8f5,48,1700,true
