comparison_id,seed,control_slot,snapshot_commit,pair_left,pair_right,g3_program_left,g3_program_right,g3_delta_left,g3_delta_right,control_program_left,control_program_right,control_delta_left,control_delta_right,g3_utility,control_utility,utility_match_gap,initial_loss_gap,delta_under_PG_h64,delta_under_PC_h64,source_interaction_h64,j_sum_PG_observed,j_sum_PC_observed,parameter_distance_initial,parameter_distance_PG_h64,parameter_distance_PC_h64,PG_generated_commits,PC_generated_commits,PG_replayed_commits,PC_replayed_commits,PG_complete,PC_complete,PG_invalid_source_step,PC_invalid_source_step,PG_invalid_replay_step,PC_invalid_replay_step,PG_telescoping_residual,PC_telescoping_residual
26,2b7e151628aed2a6,1,1200,4,57,4,57,0.02000000,0.00000000,4,57,0.02000000,0.00500000,-2.083182334900e-4,-2.083182334900e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,5.000002682209e-3,5.000002682209e-3,5.000002682209e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
27,2b7e151628aed2a6,0,1250,62,99,62,99,-0.02000000,-0.02000000,62,99,-0.02000000,-0.01000000,6.366670131683e-4,6.073415279388e-4,2.932548522949e-5,-2.932548522949e-5,-3.075599670410e-5,-3.075599670410e-5,0.000000000000e0,-1.430511474609e-6,-1.430511474609e-6,9.999997913837e-3,9.999997913837e-3,9.999997913837e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
28,2b7e151628aed2a6,1,1250,62,99,62,99,-0.02000000,-0.02000000,62,99,-0.02000000,-0.00500000,6.366670131683e-4,5.924701690674e-4,4.419684410095e-5,-4.419684410095e-5,-4.619359970093e-5,-4.664063453674e-5,4.470348358154e-7,-1.996755599976e-6,-2.443790435791e-6,1.499999314547e-2,1.499999314547e-2,1.499999314547e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
29,2b7e151628aed2a6,0,1400,88,4,88,4,0.02000000,-0.02000000,88,4,0.00000000,0.00000000,-6.943941116333e-6,0.000000000000e0,6.943941116333e-6,6.943941116333e-6,-9.277760982513e-4,-2.411007881165e-5,-9.036660194397e-4,-9.347200393677e-4,-3.105401992798e-5,2.828424423933e-2,2.828424423933e-2,2.828424423933e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
30,2b7e151628aed2a6,1,1400,88,4,88,4,0.02000000,-0.02000000,88,4,0.00000000,-0.00500000,-6.943941116333e-6,7.271766662598e-6,1.421570777893e-5,1.421570777893e-5,-8.724629878998e-4,1.789331436157e-4,-1.051396131516e-3,-8.866786956787e-4,1.647174358368e-4,2.499997615814e-2,2.499997615814e-2,2.499997615814e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
31,2b7e151628aed2a6,0,1450,110,82,110,82,0.02000000,0.00000000,110,82,0.02000000,0.00500000,1.710355281830e-4,1.710355281830e-4,0.000000000000e0,0.000000000000e0,-2.980232238770e-8,-2.980232238770e-8,0.000000000000e0,-2.980232238770e-8,-2.980232238770e-8,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
32,2b7e151628aed2a6,1,1450,110,82,110,82,0.02000000,0.00000000,110,82,0.02000000,-0.01000000,1.710355281830e-4,1.710355281830e-4,0.000000000000e0,0.000000000000e0,1.490116119385e-7,1.490116119385e-7,0.000000000000e0,1.490116119385e-7,1.490116119385e-7,1.000000536442e-2,1.000000536442e-2,1.000000536442e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
33,2b7e151628aed2a6,0,1500,40,6,40,6,-0.01000000,-0.02000000,40,6,-0.00500000,-0.02000000,-9.904205799103e-4,-1.005798578262e-3,1.537799835205e-5,-1.537799835205e-5,-2.005696296692e-5,-2.273917198181e-5,2.682209014893e-6,-4.678964614868e-6,-7.361173629761e-6,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
34,2b7e151628aed2a6,1,1500,40,6,40,6,-0.01000000,-0.02000000,40,6,-0.02000000,-0.02000000,-9.904205799103e-4,-9.613633155823e-4,2.905726432800e-5,2.905726432800e-5,3.886222839355e-5,4.470348358154e-5,-5.841255187988e-6,9.804964065552e-6,1.564621925354e-5,1.000002026558e-2,1.000002026558e-2,1.000002026558e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
35,2b7e151628aed2a6,0,1750,31,23,31,23,-0.01000000,-0.02000000,31,23,-0.00500000,-0.02000000,3.609359264374e-4,3.575980663300e-4,3.337860107422e-6,-3.337860107422e-6,2.980232238770e-6,2.980232238770e-6,0.000000000000e0,6.318092346191e-6,6.318092346191e-6,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
36,2b7e151628aed2a6,1,1750,31,23,31,23,-0.01000000,-0.02000000,31,23,-0.02000000,-0.02000000,3.609359264374e-4,3.666281700134e-4,5.692243576050e-6,5.692243576050e-6,-6.496906280518e-6,-6.049871444702e-6,-4.470348358154e-7,-1.218914985657e-5,-1.174211502075e-5,1.000002026558e-2,1.000002026558e-2,1.000002026558e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
37,2b7e151628aed2a6,0,1900,90,18,90,18,-0.01000000,-0.02000000,90,18,-0.00500000,-0.02000000,1.508921384811e-3,1.556545495987e-3,4.762411117554e-5,4.762411117554e-5,4.553794860840e-5,5.151331424713e-5,-5.975365638733e-6,-2.086162567139e-6,3.889203071594e-6,5.000002682209e-3,5.000002682209e-3,5.000002682209e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
38,2b7e151628aed2a6,0,1950,21,64,21,64,0.02000000,0.02000000,21,64,0.02000000,0.01000000,3.036707639694e-4,2.885907888412e-4,1.507997512817e-5,-1.507997512817e-5,-7.346272468567e-6,-8.583068847656e-6,1.236796379089e-6,7.733702659607e-6,6.496906280518e-6,9.999990463257e-3,9.999990463257e-3,9.999990463257e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
39,2b7e151628aed2a6,1,1950,21,64,21,64,0.02000000,0.02000000,21,64,0.02000000,0.00500000,3.036707639694e-4,2.809166908264e-4,2.275407314301e-5,-2.275407314301e-5,-1.114606857300e-5,-1.126527786255e-5,1.192092895508e-7,1.160800457001e-5,1.148879528046e-5,1.499999314547e-2,1.499998569489e-2,1.499999314547e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
40,2b7e151628aed2a6,0,2000,44,18,44,18,0.01000000,0.02000000,44,18,0.00500000,0.02000000,-1.614764332771e-3,-1.601383090019e-3,1.338124275208e-5,1.338124275208e-5,4.380941390991e-6,1.549720764160e-6,2.831220626831e-6,-9.000301361084e-6,-1.183152198792e-5,5.000000819564e-3,5.000000819564e-3,5.000000819564e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
41,2b7e151628aed2a6,1,2000,44,18,44,18,0.01000000,0.02000000,44,18,0.00000000,0.02000000,-1.614764332771e-3,-1.588776707649e-3,2.598762512207e-5,2.598762512207e-5,8.612871170044e-6,3.159046173096e-6,5.453824996948e-6,-1.737475395203e-5,-2.282857894897e-5,9.999999776483e-3,9.999999776483e-3,9.999999776483e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
42,2b7e151628aed2a6,0,2050,6,33,6,33,0.02000000,0.00000000,6,33,0.02000000,0.01000000,7.477998733521e-4,7.477998733521e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000536442e-2,1.000000536442e-2,1.000000536442e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
43,2b7e151628aed2a6,1,2050,6,33,6,33,0.02000000,0.00000000,6,33,0.02000000,0.00500000,7.477998733521e-4,7.477998733521e-4,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,0.000000000000e0,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
44,2b7e151628aed2a6,0,2100,50,89,50,89,0.01000000,0.02000000,50,89,0.00500000,0.02000000,1.883208751678e-4,1.976937055588e-4,9.372830390930e-6,9.372830390930e-6,8.344650268555e-6,8.344650268555e-6,0.000000000000e0,-1.028180122375e-6,-1.028180122375e-6,5.000010132790e-3,5.000010132790e-3,5.000010132790e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
45,2b7e151628aed2a6,1,2100,50,89,50,89,0.01000000,0.02000000,50,89,0.00000000,0.02000000,1.883208751678e-4,2.070367336273e-4,1.871585845947e-5,1.871585845947e-5,1.876056194305e-5,1.876056194305e-5,0.000000000000e0,4.470348358154e-8,4.470348358154e-8,1.000000536442e-2,1.000000536442e-2,1.000000536442e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
46,2b7e151628aed2a6,0,2150,110,6,110,6,0.02000000,-0.02000000,110,6,0.01000000,-0.02000000,-1.122549176216e-3,-1.149252057076e-3,2.670288085938e-5,-2.670288085938e-5,6.049871444702e-6,8.627772331238e-6,-2.577900886536e-6,3.275275230408e-5,3.533065319061e-5,9.999990463257e-3,9.999990463257e-3,9.999990463257e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
47,2b7e151628aed2a6,1,2150,110,6,110,6,0.02000000,-0.02000000,110,6,0.00500000,-0.02000000,-1.122549176216e-3,-1.172259449959e-3,4.971027374268e-5,-4.971027374268e-5,-4.321336746216e-7,-1.668930053711e-6,1.236796379089e-6,4.927814006805e-5,4.804134368896e-5,1.499998569489e-2,1.499998569489e-2,1.499998569489e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
48,2b7e151628aed2a6,0,2250,74,119,74,119,0.02000000,-0.01000000,74,119,0.01000000,-0.02000000,1.068115234375e-4,9.876489639282e-5,8.046627044678e-6,-8.046627044678e-6,-4.291534423828e-5,2.756714820862e-6,-4.567205905914e-5,-3.486871719360e-5,1.080334186554e-5,1.414213329554e-2,1.414213329554e-2,1.414213329554e-2,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
49,2b7e151628aed2a6,1,2250,74,119,74,119,0.02000000,-0.01000000,74,119,0.02000000,-0.00500000,1.068115234375e-4,9.663403034210e-5,1.017749309540e-5,-1.017749309540e-5,-1.506507396698e-5,-1.439452171326e-5,-6.705522537231e-7,-4.887580871582e-6,-4.217028617859e-6,4.999995231628e-3,4.999995231628e-3,4.999995231628e-3,63,63,63,63,1,1,-1,-1,-1,-1,0.000000000000e0,0.000000000000e0
