seed,mode,stream,control_slot,global_commit,group_left,group_right,g3_delta_left,g3_delta_right,control_delta_left,control_delta_right,immediate_utility_gap,revisit_left_offset,revisit_right_offset,first_divergence_step,divergence_kind,g3_margin_at_divergence,control_margin_at_divergence,invalid_from_step,invalid_parameter,horizon,valid,g3_train_loss,control_train_loss,delta_train_loss,g3_validation_loss,control_validation_loss,parameter_distance
2b7e151628aed2a6,O1-closed-loop,L2-shifted-36,control_b,50,94,4,0.00500,-0.02000,0.01000,-0.02000,0.000036597,1,1,7,1,0.000002742,0.000002384,0,-1,32,true,1.080392838,1.080398917,-0.000006080,1.080979109,1.080997109,0.093941495
2b7e151628aed2a6,O1-closed-loop,L2-shifted-36,control_b,50,94,4,0.00500,-0.02000,0.01000,-0.02000,0.000036597,1,1,7,1,0.000002742,0.000002384,0,-1,64,true,1.064329505,1.064672828,-0.000343323,1.065492988,1.065911412,0.110113591
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_a,50,94,4,0.00500,-0.02000,0.00000,-0.02000,0.000003576,1,1,14,1,0.000018358,0.000008225,0,-1,1,true,1.091028094,1.091024518,0.000003576,1.091164827,1.091161609,0.004999999
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_a,50,94,4,0.00500,-0.02000,0.00000,-0.02000,0.000003576,1,1,14,1,0.000018358,0.000008225,0,-1,2,true,1.090583682,1.090584755,-0.000001073,1.090738893,1.090736508,0.004999999
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_a,50,94,4,0.00500,-0.02000,0.00000,-0.02000,0.000003576,1,1,14,1,0.000018358,0.000008225,0,-1,4,true,1.089983344,1.089952826,0.000030518,1.090130687,1.090110540,0.004999999
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_a,50,94,4,0.00500,-0.02000,0.00000,-0.02000,0.000003576,1,1,14,1,0.000018358,0.000008225,0,-1,8,true,1.088496804,1.088499069,-0.000002265,1.088695168,1.088698983,0.004999999
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_a,50,94,4,0.00500,-0.02000,0.00000,-0.02000,0.000003576,1,1,14,1,0.000018358,0.000008225,0,-1,16,true,1.085530996,1.085560799,-0.000029802,1.085879922,1.085913777,0.004999999
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_a,50,94,4,0.00500,-0.02000,0.00000,-0.02000,0.000003576,1,1,14,1,0.000018358,0.000008225,0,-1,32,true,1.079388976,1.079484463,-0.000095487,1.080133557,1.080223441,0.004999999
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_a,50,94,4,0.00500,-0.02000,0.00000,-0.02000,0.000003576,1,1,14,1,0.000018358,0.000008225,0,-1,64,true,1.062854290,1.062982321,-0.000128031,1.064364076,1.064494967,0.004999999
2b7e151628aed2a6,O2-frozen-base-open-loop,frozen-base-original-stream,control_b,50,94,4,0.00500,-0.02000,0.01000,-0.02000,0.000036597,1,1,11,1,0.000009179,0.000018716,0,-1,1,true,1.091028094,1.091064692,-0.000036597,1.091164827,1.091198802,0.005000001
