method,seed,train_loss,validation_loss,train_accuracy,validation_accuracy,optimizer_steps,committed_programs,committed_primitives,proposal_evaluations,compound_evaluations,pair_events,full_train_audit_commits,full_train_positive_commits,full_train_utility_sum,identical_proposal_verifier_rounds,pairs_seen,pairs_possible,elapsed_seconds
same_batch_random,2b7e151628aed2a6,0.692451477,0.763351381,0.718750,0.770833,4800,4800,9572,4132800,1176000,292800,4800,2631,0.416312336922,1200,7503,7503,6.049415
same_batch_random,77a19d3c4e280b51,0.757898033,0.828286588,0.614583,0.666667,4800,4800,9572,4132800,1176000,292800,4800,2581,0.350865781307,1200,7503,7503,6.167235
same_batch_random,1111222233334444,0.624750495,0.674667597,0.770833,0.770833,4800,4800,9576,4132800,1176000,292800,4800,2670,0.484013319016,1200,7503,7503,6.188924
independent_random,2b7e151628aed2a6,0.434733897,0.440790534,0.843750,0.875000,4800,4800,9574,4132800,1176000,292800,4800,2863,0.674029916525,0,7503,7503,6.171249
independent_random,77a19d3c4e280b51,0.377204806,0.448801994,0.906250,0.937500,4800,4800,9562,4132800,1176000,292800,4800,2900,0.731559008360,0,7503,7503,6.084330
independent_random,1111222233334444,0.445644140,0.498625726,0.822917,0.875000,4800,4800,9572,4132800,1176000,292800,4800,2954,0.663119673729,0,7503,7503,6.229890
class_balanced,2b7e151628aed2a6,0.389492273,0.444873005,0.854167,0.854167,4800,4800,9577,4132800,1176000,292800,4800,2946,0.719271540642,0,7503,7503,6.083426
class_balanced,77a19d3c4e280b51,0.445936471,0.449380517,0.833333,0.875000,4800,4800,9563,4132800,1176000,292800,4800,2868,0.662827342749,0,7503,7503,6.057315
class_balanced,1111222233334444,0.398342401,0.483502835,0.864583,0.791667,4800,4800,9576,4132800,1176000,292800,4800,2957,0.710421413183,0,7503,7503,6.186809
latent_stratified,2b7e151628aed2a6,0.427668244,0.506190836,0.822917,0.833333,4800,4800,9571,4132800,1176000,292800,4800,2857,0.681095570326,0,7503,7503,6.203081
latent_stratified,77a19d3c4e280b51,0.423026830,0.466031402,0.875000,0.833333,4800,4800,9572,4132800,1176000,292800,4800,2880,0.685736984015,0,7503,7503,6.057750
latent_stratified,1111222233334444,0.451011330,0.532086670,0.843750,0.750000,4800,4800,9568,4132800,1176000,292800,4800,2833,0.657752484083,0,7503,7503,6.060404
adamw,2b7e151628aed2a6,0.022511655,0.357480317,1.000000,0.895833,4800,0,0,0,0,0,0,0,0.000000000000,0,0,0,0.011403
adamw,77a19d3c4e280b51,0.028321771,0.345106483,1.000000,0.916667,4800,0,0,0,0,0,0,0,0.000000000000,0,0,0,0.012106
adamw,1111222233334444,0.035558119,0.174010217,0.989583,0.958333,4800,0,0,0,0,0,0,0,0.000000000000,0,0,0,0.011647
sign,2b7e151628aed2a6,0.295938760,0.289128751,0.937500,0.895833,4800,0,0,0,0,0,0,0,0.000000000000,0,0,0,0.010410
sign,77a19d3c4e280b51,0.347895861,0.234607026,0.895833,0.916667,4800,0,0,0,0,0,0,0,0.000000000000,0,0,0,0.010763
sign,1111222233334444,0.325323224,0.236533716,0.906250,0.895833,4800,0,0,0,0,0,0,0,0.000000000000,0,0,0,0.010860
