method,seed,commit,train_loss,validation_loss,train_accuracy,validation_accuracy
same_batch_random,2b7e151628aed2a6,50,1.102670550,1.102881074,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,100,1.099222183,1.099905849,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,150,1.100838542,1.101635814,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,200,1.104918122,1.106096745,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,250,1.098661661,1.099915981,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,300,1.096823335,1.097974658,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,350,1.093962550,1.095594287,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,400,1.093995571,1.095645785,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,450,1.091317058,1.093902588,0.395833,0.354167
same_batch_random,2b7e151628aed2a6,500,1.090014935,1.092681527,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,550,1.087076068,1.090504289,0.406250,0.375000
same_batch_random,2b7e151628aed2a6,600,1.090689540,1.093786240,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,650,1.085352540,1.088380456,0.354167,0.312500
same_batch_random,2b7e151628aed2a6,700,1.084502339,1.087325931,0.437500,0.416667
same_batch_random,2b7e151628aed2a6,750,1.088086486,1.091077685,0.333333,0.333333
same_batch_random,2b7e151628aed2a6,800,1.081286311,1.084826112,0.479167,0.479167
same_batch_random,2b7e151628aed2a6,850,1.080922246,1.084004045,0.437500,0.437500
same_batch_random,2b7e151628aed2a6,900,1.073716521,1.076756597,0.427083,0.416667
same_batch_random,2b7e151628aed2a6,950,1.067794681,1.072324157,0.437500,0.416667
same_batch_random,2b7e151628aed2a6,1000,1.069610238,1.073323011,0.416667,0.416667
same_batch_random,2b7e151628aed2a6,1050,1.062406540,1.065634131,0.479167,0.500000
same_batch_random,2b7e151628aed2a6,1100,1.064866185,1.069652319,0.427083,0.395833
same_batch_random,2b7e151628aed2a6,1150,1.061374187,1.068513751,0.416667,0.416667
same_batch_random,2b7e151628aed2a6,1200,1.058521509,1.066167474,0.427083,0.416667
same_batch_random,2b7e151628aed2a6,1250,1.058940411,1.067258120,0.427083,0.437500
same_batch_random,2b7e151628aed2a6,1300,1.049904943,1.058506846,0.479167,0.437500
same_batch_random,2b7e151628aed2a6,1350,1.050276875,1.059767962,0.447917,0.437500
same_batch_random,2b7e151628aed2a6,1400,1.055168629,1.063797712,0.458333,0.437500
same_batch_random,2b7e151628aed2a6,1450,1.045812368,1.056208014,0.479167,0.458333
same_batch_random,2b7e151628aed2a6,1500,1.044290900,1.055564404,0.468750,0.437500
same_batch_random,2b7e151628aed2a6,1550,1.043682694,1.054127812,0.416667,0.416667
same_batch_random,2b7e151628aed2a6,1600,1.039856672,1.050055385,0.479167,0.479167
same_batch_random,2b7e151628aed2a6,1650,1.037952781,1.047090888,0.489583,0.479167
same_batch_random,2b7e151628aed2a6,1700,1.040084481,1.049439549,0.468750,0.458333
same_batch_random,2b7e151628aed2a6,1750,1.035334468,1.046586037,0.479167,0.437500
same_batch_random,2b7e151628aed2a6,1800,1.033666372,1.045481682,0.458333,0.479167
same_batch_random,2b7e151628aed2a6,1850,1.036752105,1.048424602,0.468750,0.500000
same_batch_random,2b7e151628aed2a6,1900,1.033543944,1.044596076,0.458333,0.500000
same_batch_random,2b7e151628aed2a6,1950,1.031149268,1.042085290,0.479167,0.479167
same_batch_random,2b7e151628aed2a6,2000,1.030959725,1.042719245,0.489583,0.458333
same_batch_random,2b7e151628aed2a6,2050,1.030536056,1.040584326,0.500000,0.458333
same_batch_random,2b7e151628aed2a6,2100,1.027764678,1.037418962,0.489583,0.458333
same_batch_random,2b7e151628aed2a6,2150,1.031404853,1.040338159,0.500000,0.458333
same_batch_random,2b7e151628aed2a6,2200,1.026286483,1.034811735,0.489583,0.479167
same_batch_random,2b7e151628aed2a6,2250,1.024876952,1.033751011,0.489583,0.458333
same_batch_random,2b7e151628aed2a6,2300,1.021042347,1.031604171,0.489583,0.500000
same_batch_random,2b7e151628aed2a6,2350,1.022483706,1.034332633,0.479167,0.479167
same_batch_random,2b7e151628aed2a6,2400,1.020812511,1.028446555,0.489583,0.479167
same_batch_random,2b7e151628aed2a6,2450,1.019960999,1.029343247,0.427083,0.395833
same_batch_random,2b7e151628aed2a6,2500,1.015700340,1.025871634,0.520833,0.500000
