arm,seed,groups,top_compound_agreement,shortlist_recall,mean_exact_regret,max_exact_regret,cumulative_exact_regret,mean_block_value_error,cross_block_order_accuracy,inversion_count,margin_weighted_order_regret,near_tie_inversion_fraction,shortlist_failures,scheduler_failures,first_divergence_epoch
K0-exact-11x11,2b7e151628aed2a6,64,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,0,0,
K0-exact-11x11,77a19d3c4e280b51,64,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,0,0,
K0-exact-11x11,1111222233334444,64,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,0,0,
K1-beam-1x1,2b7e151628aed2a6,64,0.92187500,0.92187500,0.00006364,0.00302199,0.00407104,0.00006364,0.96875000,7,0.00815998,0.14285715,2,0,50
K1-beam-1x1,77a19d3c4e280b51,64,0.93750000,0.93750000,0.00011335,0.00310975,0.00682014,0.00011335,0.92857140,16,0.03592125,0.00000000,3,0,10
K1-beam-1x1,1111222233334444,64,0.92187500,0.92187500,0.00016296,0.00520855,0.00962457,0.00016296,0.93750000,14,0.04852599,0.00000000,3,0,10
K2-beam-2x2,2b7e151628aed2a6,64,0.96875000,0.96875000,0.00001113,0.00045687,0.00027563,0.00001113,0.94196427,13,0.00419353,0.00000000,2,0,100
K2-beam-2x2,77a19d3c4e280b51,64,0.98437500,0.98437500,0.00000000,0.00000030,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,0,0,10
K2-beam-2x2,1111222233334444,64,0.98437500,0.98437500,0.00002478,0.00158584,0.00103056,0.00002478,0.98660713,3,0.00366050,0.00000000,1,0,10
K3-beam-3x3,2b7e151628aed2a6,64,0.96875000,0.96875000,0.00001234,0.00070107,0.00054821,0.00001234,0.98660713,3,0.00111031,0.00000000,2,0,50
K3-beam-3x3,77a19d3c4e280b51,64,0.96875000,0.96875000,0.00002679,0.00168252,0.00125354,0.00002679,0.97321427,6,0.00274334,0.00000000,2,0,50
K3-beam-3x3,1111222233334444,64,0.96875000,0.96875000,0.00003975,0.00133473,0.00168386,0.00003975,0.95982140,9,0.00947109,0.00000000,2,0,10
K4-beam-4x4,2b7e151628aed2a6,64,0.98437500,0.98437500,0.00000203,0.00013004,0.00013004,0.00000203,1.00000000,0,0.00000000,0.00000000,0,0,500
K4-beam-4x4,77a19d3c4e280b51,64,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,0,0,
K4-beam-4x4,1111222233334444,64,0.98437500,0.98437500,0.00001910,0.00122261,0.00099295,0.00001910,0.99107140,2,0.00201041,0.00000000,1,0,10
K5-beam-5x5,2b7e151628aed2a6,64,0.96875000,0.96875000,0.00002667,0.00124109,0.00137553,0.00002667,0.98660713,3,0.00231484,0.00000000,2,0,50
K5-beam-5x5,77a19d3c4e280b51,64,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0,0.00000000,0.00000000,0,0,
K5-beam-5x5,1111222233334444,64,0.98437500,0.98437500,0.00001436,0.00091916,0.00091916,0.00001436,1.00000000,0,0.00000000,0.00000000,0,0,10
