arm,seed,final_loss,final_accuracy,final_mse,selected_primitives,programs,proposal_evaluations,compound_evaluations,utility_evaluations,pair_events,ever_covered_fraction,time_to_full_coverage
K0-exact-11x11,2b7e151628aed2a6,0.01338627,1.00000000,0.00056536,2584,1330,46882,4040432,4087314,34096,1.00000000,27
K0-exact-11x11,77a19d3c4e280b51,0.01338627,1.00000000,0.00056536,2369,1235,45837,3964928,4010765,33336,1.00000000,27
K0-exact-11x11,1111222233334444,0.01398539,1.00000000,0.00056681,2025,1035,44011,3779072,3823083,32008,1.00000000,27
K1-beam-1x1,2b7e151628aed2a6,0.20069711,1.00000000,0.04165035,1210,630,662354,28312,690666,28720,1.00000000,28
K1-beam-1x1,77a19d3c4e280b51,0.34626925,1.00000000,0.08988280,875,452,632907,27056,659963,27400,1.00000000,27
K1-beam-1x1,1111222233334444,0.36148214,1.00000000,0.09843896,750,384,622578,26616,649194,26928,1.00000000,27
K2-beam-2x2,2b7e151628aed2a6,0.02375875,1.00000000,0.00079301,2007,1057,731676,125056,856732,31904,1.00000000,28
K2-beam-2x2,77a19d3c4e280b51,0.01398539,1.00000000,0.00056681,2232,1153,746570,127552,874122,32752,1.00000000,27
K2-beam-2x2,1111222233334444,0.01400138,1.00000000,0.00056689,2185,1143,746636,127584,874220,32672,1.00000000,27
K3-beam-3x3,2b7e151628aed2a6,0.01966262,1.00000000,0.00064398,2152,1129,744986,286488,1031474,32496,1.00000000,28
K3-beam-3x3,77a19d3c4e280b51,0.01393788,1.00000000,0.00056659,2185,1131,742566,285480,1028046,32528,1.00000000,27
K3-beam-3x3,1111222233334444,0.01398771,1.00000000,0.00056682,2307,1207,756305,290736,1047041,33176,1.00000000,27
K4-beam-4x4,2b7e151628aed2a6,0.01750628,1.00000000,0.00060836,2340,1224,760595,519936,1280531,33224,1.00000000,28
K4-beam-4x4,77a19d3c4e280b51,0.01398544,1.00000000,0.00056681,2185,1126,742555,507520,1250075,32520,1.00000000,27
K4-beam-4x4,1111222233334444,0.01382990,1.00000000,0.00056616,2154,1127,743787,508416,1252203,32520,1.00000000,27
K5-beam-5x5,2b7e151628aed2a6,0.01608403,1.00000000,0.00058571,2670,1388,791703,845600,1637303,34600,1.00000000,28
K5-beam-5x5,77a19d3c4e280b51,0.01399446,1.00000000,0.00056685,2189,1130,742577,793000,1535577,32536,1.00000000,27
K5-beam-5x5,1111222233334444,0.01396991,1.00000000,0.00056674,2232,1171,750651,801600,1552251,32904,1.00000000,27
