arm,seed,step,train_loss,validation_loss,train_accuracy,validation_accuracy
A0-adamw,2b7e151628aed2a6,0,1.10846710,1.10821950,0.33333334,0.33333334
A0-adamw,2b7e151628aed2a6,10,1.09539568,1.09531450,0.38541666,0.39583334
A0-adamw,2b7e151628aed2a6,20,1.08683753,1.08696282,0.33333334,0.33333334
A0-adamw,2b7e151628aed2a6,30,1.06584632,1.06656802,0.36458334,0.37500000
A0-adamw,2b7e151628aed2a6,40,1.02886784,1.03115249,0.47916666,0.45833334
A0-adamw,2b7e151628aed2a6,50,0.97737759,0.98162955,0.47916666,0.45833334
A0-adamw,2b7e151628aed2a6,60,0.92752266,0.93644148,0.50000000,0.52083331
A0-adamw,2b7e151628aed2a6,70,0.88914734,0.90231967,0.52083331,0.52083331
A0-adamw,2b7e151628aed2a6,80,0.82962579,0.84752685,0.53125000,0.56250000
A0-adamw,2b7e151628aed2a6,90,0.77047259,0.78919965,0.53125000,0.54166669
A0-adamw,2b7e151628aed2a6,100,0.77519542,0.79101181,0.54166669,0.52083331
A0-adamw,2b7e151628aed2a6,110,0.78840399,0.81792575,0.55208331,0.54166669
A0-adamw,2b7e151628aed2a6,120,0.72982484,0.76557589,0.56250000,0.56250000
A0-adamw,2b7e151628aed2a6,130,0.73072356,0.76325041,0.59375000,0.60416669
A0-adamw,2b7e151628aed2a6,140,0.69663042,0.72133088,0.57291669,0.58333331
A0-adamw,2b7e151628aed2a6,150,0.67052776,0.69445610,0.60416669,0.56250000
A0-adamw,2b7e151628aed2a6,160,0.66762710,0.68958259,0.59375000,0.58333331
A0-adamw,2b7e151628aed2a6,170,0.64864540,0.67251664,0.65625000,0.64583331
A0-adamw,2b7e151628aed2a6,180,0.64428800,0.66735655,0.69791669,0.66666669
A0-adamw,2b7e151628aed2a6,190,0.63631517,0.65956718,0.60416669,0.56250000
A0-adamw,2b7e151628aed2a6,200,0.64184004,0.66764468,0.63541669,0.62500000
A0-adamw,2b7e151628aed2a6,210,0.63589191,0.65812087,0.68750000,0.70833331
A0-adamw,2b7e151628aed2a6,220,0.60642523,0.62912989,0.70833331,0.70833331
A0-adamw,2b7e151628aed2a6,230,0.59438068,0.61774719,0.66666669,0.64583331
A0-adamw,2b7e151628aed2a6,240,0.59702796,0.62526268,0.69791669,0.70833331
A0-adamw,2b7e151628aed2a6,250,0.56776339,0.59110945,0.68750000,0.66666669
A0-adamw,2b7e151628aed2a6,260,0.58842111,0.61329132,0.66666669,0.64583331
A0-adamw,2b7e151628aed2a6,270,0.55471712,0.58088952,0.71875000,0.68750000
A0-adamw,2b7e151628aed2a6,280,0.53169745,0.56018579,0.69791669,0.70833331
A0-adamw,2b7e151628aed2a6,290,0.52327913,0.55344266,0.75000000,0.72916669
