seed,snapshot_step,matched,control_slot,left_parameter,right_parameter,g3_left_delta,g3_right_delta,g3_utility,control_left_delta,control_right_delta,control_utility,utility_gap,control_stratum,g3_stratum,match_tolerance
2b7e151628aed2a6,600,true,0,0,91,0.020000000,0.000000000,0.000557482,0.020000000,-0.020000000,0.000557482,0.000000000,1,1,0.000050000
2b7e151628aed2a6,600,true,1,0,91,0.020000000,0.000000000,0.000557482,0.020000000,0.020000000,0.000557482,0.000000000,1,1,0.000050000
2b7e151628aed2a6,2400,true,0,103,21,0.000000000,0.020000000,0.000211477,-0.010000000,0.020000000,0.000211477,0.000000000,1,1,0.000050000
2b7e151628aed2a6,2400,true,1,103,21,0.000000000,0.020000000,0.000211477,0.010000000,0.020000000,0.000211477,0.000000000,1,1,0.000050000
2b7e151628aed2a6,4200,true,0,78,79,0.020000000,-0.020000000,0.000246942,0.010000000,-0.020000000,0.000244558,0.000002384,1,1,0.000050000
2b7e151628aed2a6,4200,true,1,78,79,0.020000000,-0.020000000,0.000246942,0.005000000,-0.020000000,0.000234812,0.000012130,1,1,0.000050000
77a19d3c4e280b51,600,false,0,14,77,0.020000000,-0.020000000,0.000608921,0,0,0,0,0,1,0.00005
77a19d3c4e280b51,600,false,1,14,77,0.020000000,-0.020000000,0.000608921,0,0,0,0,0,1,0.00005
77a19d3c4e280b51,2400,true,0,101,23,0.010000000,0.020000000,-0.004489899,0.005000000,0.020000000,-0.004494101,0.000004202,2,2,0.000050000
77a19d3c4e280b51,2400,true,1,101,23,0.010000000,0.020000000,-0.004489899,0.020000000,0.020000000,-0.004482180,0.000007719,2,2,0.000050000
77a19d3c4e280b51,4200,true,0,18,16,0.020000000,-0.020000000,0.001443505,-0.005000000,-0.020000000,0.001467913,0.000024408,1,1,0.000050000
77a19d3c4e280b51,4200,true,1,18,16,0.020000000,-0.020000000,0.001443505,-0.010000000,-0.020000000,0.001396418,0.000047088,1,1,0.000050000
1111222233334444,600,false,0,19,72,-0.020000000,-0.020000000,0.000751376,0,0,0,0,0,1,0.00005
1111222233334444,600,false,1,19,72,-0.020000000,-0.020000000,0.000751376,0,0,0,0,0,1,0.00005
1111222233334444,2400,true,0,85,39,-0.020000000,0.020000000,0.000059962,0.000000000,0.005000000,0.000062436,0.000002474,1,1,0.000050000
1111222233334444,2400,true,1,85,39,-0.020000000,0.020000000,0.000059962,0.010000000,0.010000000,0.000057429,0.000002533,1,1,0.000050000
1111222233334444,4200,false,0,29,5,0.020000000,-0.020000000,0.000757933,0,0,0,0,0,1,0.00005
1111222233334444,4200,false,1,29,5,0.020000000,-0.020000000,0.000757933,0,0,0,0,0,1,0.00005
