arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,mean_reference_regret,max_reference_regret
D0-same-m1,2b7e151628aed2a6,1.08116782,1.08151495,0.45833334,0.47916666,0.52083331,516600,147000,600,1199,7503,7503,600,7,6,5,0.00057890,0.00124502
D0-same-m1,77a19d3c4e280b51,1.08070266,1.08115351,0.45833334,0.45833334,1.16666663,516600,147000,600,1196,7503,7503,600,6,9,2,0.00058823,0.00109720
D0-same-m1,1111222233334444,1.07625663,1.07690954,0.55208331,0.54166669,0.89583331,516600,147000,600,1194,7503,7503,600,4,6,5,0.00038723,0.00102246
D1-same-m2,2b7e151628aed2a6,0.99658984,0.99949288,0.52083331,0.50000000,1.00000000,1033200,294000,1200,2396,7503,7503,600,6,5,6,0.00065030,0.00136471
D1-same-m2,77a19d3c4e280b51,0.95725411,0.96326303,0.50000000,0.50000000,1.06250000,1033200,294000,1200,2392,7503,7503,600,3,7,3,0.00076003,0.00239486
D1-same-m2,1111222233334444,0.97326726,0.97821897,0.45833334,0.45833334,0.97916669,1033200,294000,1200,2391,7503,7503,600,6,7,4,0.00064773,0.00157654
D2-same-m4,2b7e151628aed2a6,0.77593565,0.79644006,0.56250000,0.54166669,0.95833331,2066400,588000,2400,4788,7503,7503,600,7,7,3,0.00120411,0.00664544
D2-same-m4,77a19d3c4e280b51,0.80006862,0.82250828,0.56250000,0.54166669,0.95833331,2066400,588000,2400,4793,7503,7503,600,3,3,2,0.00058329,0.00212973
D2-same-m4,1111222233334444,0.78806382,0.80815768,0.55208331,0.52083331,0.97916669,2066400,588000,2400,4790,7503,7503,600,7,6,4,0.00081116,0.00206089
D3-same-m8,2b7e151628aed2a6,0.63171756,0.66431946,0.64583331,0.62500000,0.75000000,4132800,1176000,4800,9593,7503,7503,600,6,6,3,0.00239279,0.01233268
D3-same-m8,77a19d3c4e280b51,0.70658952,0.73284751,0.64583331,0.66666669,0.83333331,4132800,1176000,4800,9575,7503,7503,600,5,5,3,0.00091736,0.00380808
D3-same-m8,1111222233334444,0.59331346,0.61734390,0.70833331,0.70833331,0.66666669,4132800,1176000,4800,9585,7503,7503,600,6,5,5,0.00177167,0.00755084
D4-independent-m1,2b7e151628aed2a6,0.99696249,1.00088775,0.54166669,0.52083331,1.10416663,516600,147000,600,1198,7503,7503,600,3,9,2,0.00043316,0.00092757
D4-independent-m1,77a19d3c4e280b51,0.98133224,0.98658663,0.47916666,0.45833334,1.16666663,516600,147000,600,1194,7503,7503,600,5,8,4,0.00055982,0.00114059
D4-independent-m1,1111222233334444,0.98038691,0.98468822,0.50000000,0.47916666,1.08333337,516600,147000,600,1196,7503,7503,600,5,5,6,0.00042006,0.00115144
D5-independent-m2,2b7e151628aed2a6,0.90537363,0.91791129,0.46875000,0.45833334,0.91666669,1033200,294000,1200,2398,7503,7503,600,6,9,3,0.00078579,0.00145447
D5-independent-m2,77a19d3c4e280b51,0.84020442,0.85674453,0.54166669,0.52083331,1.04166663,1033200,294000,1200,2390,7503,7503,600,4,7,5,0.00089869,0.00201440
D5-independent-m2,1111222233334444,0.86166555,0.87453049,0.50000000,0.50000000,1.00000000,1033200,294000,1200,2389,7503,7503,600,6,5,7,0.00061799,0.00155807
D6-independent-m4,2b7e151628aed2a6,0.72094274,0.74822646,0.58333331,0.56250000,0.93750000,2066400,588000,2400,4791,7503,7503,600,6,9,3,0.00155899,0.00466383
D6-independent-m4,77a19d3c4e280b51,0.68163711,0.70671207,0.58333331,0.58333331,0.85416669,2066400,588000,2400,4775,7503,7503,600,4,9,1,0.00096788,0.00267488
D6-independent-m4,1111222233334444,0.67086941,0.69627452,0.60416669,0.56250000,0.81250000,2066400,588000,2400,4796,7503,7503,600,5,9,2,0.00118566,0.00322258
D7-independent-m8,2b7e151628aed2a6,0.38736784,0.40346345,0.91666669,0.89583331,0.22916667,4132800,1176000,4800,9559,7503,7503,600,7,10,2,0.00189085,0.00471145
D7-independent-m8,77a19d3c4e280b51,0.38691792,0.40929833,0.91666669,0.93750000,0.18750000,4132800,1176000,4800,9552,7503,7503,600,4,5,5,0.00156105,0.00423294
D7-independent-m8,1111222233334444,0.25132975,0.27732098,0.93750000,0.95833331,0.04166667,4132800,1176000,4800,9557,7503,7503,600,6,6,4,0.00191783,0.00596580
D8-full-m1,2b7e151628aed2a6,0.73714900,0.75500089,0.58333331,0.56250000,0.81250000,516600,147000,600,1198,7503,7503,600,5,0,5,0.00006039,0.00021559
D8-full-m1,77a19d3c4e280b51,0.74372411,0.75872684,0.59375000,0.58333331,0.79166669,516600,147000,600,1198,7503,7503,600,5,0,5,0.00004818,0.00027192
D8-full-m1,1111222233334444,0.73170757,0.74850154,0.59375000,0.54166669,0.83333331,516600,147000,600,1199,7503,7503,600,5,1,4,0.00005944,0.00029159
D9-full-m2,2b7e151628aed2a6,0.41347492,0.43406215,0.86458331,0.87500000,0.12500000,1033200,294000,1200,2396,7503,7503,600,9,2,6,0.00004220,0.00022811
D9-full-m2,77a19d3c4e280b51,0.40838265,0.42918614,0.89583331,0.85416669,0.27083334,1033200,294000,1200,2395,7503,7503,600,5,0,5,0.00006117,0.00032076
D9-full-m2,1111222233334444,0.45718098,0.47996652,0.80208331,0.79166669,0.27083334,1033200,294000,1200,2396,7503,7503,600,7,0,7,0.00007407,0.00028557
D10-full-m4,2b7e151628aed2a6,0.07709310,0.08801468,1.00000000,1.00000000,0.00000000,2066400,588000,2400,4786,7503,7503,600,5,3,2,0.00005961,0.00021064
D10-full-m4,77a19d3c4e280b51,0.06242614,0.07093532,1.00000000,1.00000000,0.00000000,2066400,588000,2400,4793,7503,7503,600,9,6,3,0.00009236,0.00031137
D10-full-m4,1111222233334444,0.10491767,0.11917939,1.00000000,1.00000000,0.00000000,2066400,588000,2400,4785,7503,7503,600,4,1,3,0.00006803,0.00037420
D11-full-m8,2b7e151628aed2a6,0.00310524,0.00559892,1.00000000,1.00000000,0.00000000,4132800,1176000,4799,9548,7503,7503,600,6,1,5,0.00005043,0.00027603
D11-full-m8,77a19d3c4e280b51,0.01750427,0.03207500,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9559,7503,7503,600,6,4,2,0.00008724,0.00058460
D11-full-m8,1111222233334444,0.00786910,0.01191199,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9567,7503,7503,600,10,4,5,0.00007533,0.00030273
D12-adamw,2b7e151628aed2a6,0.16830194,0.18482949,0.97916669,0.97916669,0.08333334,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
D12-adamw,77a19d3c4e280b51,0.13494803,0.14927836,0.98958331,0.97916669,0.08333334,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
D12-adamw,1111222233334444,0.04692503,0.05857893,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
D13-sign,2b7e151628aed2a6,0.37331721,0.43089461,0.91666669,0.87500000,0.37500000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
D13-sign,77a19d3c4e280b51,0.22552980,0.26939365,0.93750000,0.93750000,0.18750000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
D13-sign,1111222233334444,0.13059568,0.18624501,0.97916669,0.95833331,0.04166667,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
