snapshot_epoch,first,first_label,first_group,first_delta,first_utility,first_singleton_effect,second,second_label,second_group,second_delta,second_utility,second_singleton_effect,pair_effect,interaction,classification
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,-0.00072986,0.00000000,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,-0.00072986,0.00000000,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,3,"W1[1,1]",W1,-0.02000000,0.00142729,-0.00142729,-0.00215721,-0.00000006,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,4,"W1[2,0]",W1,-0.02000000,0.00062382,-0.00062382,-0.00135833,-0.00000465,synergy
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,5,"W1[2,1]",W1,-0.02000000,0.00034511,-0.00034511,-0.00107503,-0.00000006,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,6,"W1[3,0]",W1,0.00000000,0.00000000,0.00000000,-0.00072986,0.00000000,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,7,"W1[3,1]",W1,0.00000000,0.00000000,0.00000000,-0.00072986,0.00000000,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,8,"b1[0]",b1,-0.02000000,0.00032479,-0.00032479,-0.00105834,-0.00000370,synergy
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,9,"b1[1]",b1,-0.02000000,0.00142729,-0.00142729,-0.00215721,-0.00000006,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,10,"b1[2]",b1,-0.02000000,0.00074995,-0.00074995,-0.00148445,-0.00000465,synergy
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,11,"b1[3]",b1,0.02000000,0.00184959,-0.00184959,-0.00257945,0.00000000,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,12,"W2[0]",W2,0.02000000,0.00059724,-0.00059724,-0.00135958,-0.00003248,synergy
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,13,"W2[1]",W2,0.02000000,0.00045288,-0.00045288,-0.00118279,-0.00000006,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,14,"W2[2]",W2,-0.02000000,0.00085354,-0.00085354,-0.00158882,-0.00000542,synergy
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,15,"W2[3]",W2,-0.02000000,0.00005293,-0.00005293,-0.00078285,-0.00000006,near-additive
0,0,"W1[0,0]",W1,0.02000000,0.00072986,-0.00072986,16,"b2",b2,-0.02000000,0.00147569,-0.00147569,-0.00221491,-0.00000936,synergy
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,3,"W1[1,1]",W1,-0.02000000,0.00142729,-0.00142729,-0.00142729,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,4,"W1[2,0]",W1,-0.02000000,0.00062382,-0.00062382,-0.00062382,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,5,"W1[2,1]",W1,-0.02000000,0.00034511,-0.00034511,-0.00034511,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,6,"W1[3,0]",W1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,7,"W1[3,1]",W1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,8,"b1[0]",b1,-0.02000000,0.00032479,-0.00032479,-0.00032479,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,9,"b1[1]",b1,-0.02000000,0.00142729,-0.00142729,-0.00142729,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,10,"b1[2]",b1,-0.02000000,0.00074995,-0.00074995,-0.00074995,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,11,"b1[3]",b1,0.02000000,0.00184959,-0.00184959,-0.00184959,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,12,"W2[0]",W2,0.02000000,0.00059724,-0.00059724,-0.00059724,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,13,"W2[1]",W2,0.02000000,0.00045288,-0.00045288,-0.00045288,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,14,"W2[2]",W2,-0.02000000,0.00085354,-0.00085354,-0.00085354,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,15,"W2[3]",W2,-0.02000000,0.00005293,-0.00005293,-0.00005293,0.00000000,near-additive
0,1,"W1[0,1]",W1,0.00000000,0.00000000,0.00000000,16,"b2",b2,-0.02000000,0.00147569,-0.00147569,-0.00147569,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,3,"W1[1,1]",W1,-0.02000000,0.00142729,-0.00142729,-0.00142729,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,4,"W1[2,0]",W1,-0.02000000,0.00062382,-0.00062382,-0.00062382,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,5,"W1[2,1]",W1,-0.02000000,0.00034511,-0.00034511,-0.00034511,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,6,"W1[3,0]",W1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,7,"W1[3,1]",W1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,8,"b1[0]",b1,-0.02000000,0.00032479,-0.00032479,-0.00032479,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,9,"b1[1]",b1,-0.02000000,0.00142729,-0.00142729,-0.00142729,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,10,"b1[2]",b1,-0.02000000,0.00074995,-0.00074995,-0.00074995,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,11,"b1[3]",b1,0.02000000,0.00184959,-0.00184959,-0.00184959,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,12,"W2[0]",W2,0.02000000,0.00059724,-0.00059724,-0.00059724,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,13,"W2[1]",W2,0.02000000,0.00045288,-0.00045288,-0.00045288,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,14,"W2[2]",W2,-0.02000000,0.00085354,-0.00085354,-0.00085354,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,15,"W2[3]",W2,-0.02000000,0.00005293,-0.00005293,-0.00005293,0.00000000,near-additive
0,2,"W1[1,0]",W1,0.00000000,0.00000000,0.00000000,16,"b2",b2,-0.02000000,0.00147569,-0.00147569,-0.00147569,0.00000000,near-additive
0,3,"W1[1,1]",W1,-0.02000000,0.00142729,-0.00142729,4,"W1[2,0]",W1,-0.02000000,0.00062382,-0.00062382,-0.00205112,0.00000000,near-additive
0,3,"W1[1,1]",W1,-0.02000000,0.00142729,-0.00142729,5,"W1[2,1]",W1,-0.02000000,0.00034511,-0.00034511,-0.00177991,-0.00000751,synergy
