seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,snapshots,shadow_evaluations,reference_evaluations,selected_block_match_rate,selected_program_match_rate,family,sign_reliability,mean_selected_stddev,mean_selected_snr,mean_selected_positive_probability,mean_selected_reference_regret,max_selected_reference_regret,selected_block_match_rate_family,selected_program_match_rate_family,mean_selected_winner_agreement,mean_selected_utility_error,component_winner_match_rate,family_best_block_match_rate,component_best_block_match_rate,regret_stddev_correlation,regret_inverse_snr_correlation
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,96,282240,23520,0.27083333,0.22916667,6x16-independent,0.62042057,0.00209395,0.59899029,0.59895833,0.00061253,0.00340713,0.27083333,0.22916667,0.42534722,0.00073788,0.49683580,0.36458333,0.13368056,0.06556303,-0.05530489
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,96,282240,23520,0.27083333,0.22916667,3x32-independent,0.65110444,0.00135970,1.15468386,0.62847222,0.00061253,0.00340713,0.27083333,0.22916667,0.47569444,0.00081568,0.53791443,0.21875000,0.15625000,-0.02512888,-0.03253339
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,96,282240,23520,0.27083333,0.22916667,2x48-independent,0.67827860,0.00097703,3.50211927,0.61979167,0.00061253,0.00340713,0.27083333,0.22916667,0.51562500,0.00080770,0.57736895,0.28125000,0.19791667,0.10728961,0.08609960
2b7e151628aed2a6,0.03429621,0.04683727,1.00000000,1.00000000,96,282240,23520,0.27083333,0.22916667,full-96-reference,1.00000000,0.00000000,0.00000000,0.73958333,0.00061253,0.00340713,0.27083333,0.22916667,0.58333333,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,96,282240,23520,0.14583333,0.13541667,6x16-independent,0.60113029,0.00193390,0.46301041,0.53298611,0.00065745,0.00246440,0.14583333,0.13541667,0.35243056,0.00059353,0.46835797,0.26041667,0.14236111,0.13260517,0.04328716
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,96,282240,23520,0.14583333,0.13541667,3x32-independent,0.64637144,0.00142070,1.03928076,0.59027778,0.00065745,0.00246440,0.14583333,0.13541667,0.42708333,0.00076964,0.52419355,0.30208333,0.19097222,0.11707633,-0.04005852
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,96,282240,23520,0.14583333,0.13541667,2x48-independent,0.67998587,0.00101128,5.23016626,0.65104167,0.00065745,0.00246440,0.14583333,0.13541667,0.49479167,0.00067740,0.55955981,0.23958333,0.19791667,0.10550857,0.04801533
77a19d3c4e280b51,0.05449949,0.06588054,1.00000000,1.00000000,96,282240,23520,0.14583333,0.13541667,full-96-reference,1.00000000,0.00000000,0.00000000,0.68750000,0.00065745,0.00246440,0.14583333,0.13541667,0.47916667,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000
1111222233334444,0.09037589,0.11164889,0.97916669,0.95833331,96,282240,23520,0.23958333,0.20833333,6x16-independent,0.61345058,0.00237957,0.66480601,0.60763889,0.00051511,0.00295210,0.23958333,0.20833333,0.43750000,0.00077691,0.49582773,0.28125000,0.13368056,0.14320220,-0.02143606
1111222233334444,0.09037589,0.11164889,0.97916669,0.95833331,96,282240,23520,0.23958333,0.20833333,3x32-independent,0.65093603,0.00141149,1.27755456,0.61458333,0.00051511,0.00295210,0.23958333,0.20833333,0.49305556,0.00079749,0.53892249,0.22916667,0.15972222,0.24502245,0.06891451
1111222233334444,0.09037589,0.11164889,0.97916669,0.95833331,96,282240,23520,0.23958333,0.20833333,2x48-independent,0.68136627,0.00107463,1.86140495,0.68750000,0.00051511,0.00295210,0.23958333,0.20833333,0.51041667,0.00073111,0.57720094,0.28125000,0.20312500,0.15565870,0.08476828
1111222233334444,0.09037589,0.11164889,0.97916669,0.95833331,96,282240,23520,0.23958333,0.20833333,full-96-reference,1.00000000,0.00000000,0.00000000,0.75000000,0.00051511,0.00295210,0.23958333,0.20833333,0.58333333,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000
