seed,control_slot,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,matched_snapshots,initial_control_better,initial_g3_better,mean_regret_gap,persistent_reversal,transient_reversal,no_reversal,horizon,matched,horizon_initial_control_better,mean_delta,g3_better_rate,reversal_rate,mean_parameter_distance,mean_g3_train_loss,mean_control_train_loss,mean_g3_validation_loss,mean_control_validation_loss
77a19d3c4e280b51,control_b,0.05449949,0.06588054,1.00000000,1.00000000,74,37,36,0.00001047,14,20,3,4,74,37,-0.00010660,0.51351351,0.48648649,0.04086265,0.29275012,0.29285673,0.31585784,0.31594025
77a19d3c4e280b51,control_b,0.05449949,0.06588054,1.00000000,1.00000000,74,37,36,0.00001047,14,20,3,8,74,37,-0.00007955,0.56756757,0.51351351,0.05101344,0.29171713,0.29179668,0.31455703,0.31478853
77a19d3c4e280b51,control_b,0.05449949,0.06588054,1.00000000,1.00000000,74,37,36,0.00001047,14,20,3,16,74,37,-0.00023332,0.58108108,0.43243243,0.07007049,0.29027130,0.29050461,0.31315872,0.31357476
77a19d3c4e280b51,control_b,0.05449949,0.06588054,1.00000000,1.00000000,74,37,36,0.00001047,14,20,3,32,74,37,-0.00013148,0.55405405,0.51351351,0.09873828,0.28786089,0.28799237,0.31131348,0.31154095
77a19d3c4e280b51,control_b,0.05449949,0.06588054,1.00000000,1.00000000,74,37,36,0.00001047,14,20,3,64,74,37,-0.00043305,0.66216216,0.67567568,0.13967104,0.28175010,0.28218315,0.30466145,0.30534468
1111222233334444,control_a,0.09037589,0.11164889,0.97916669,0.95833331,85,31,39,0.00000912,7,21,3,1,85,31,-0.00000206,0.45882353,0.00000000,0.02663859,0.32322520,0.32322726,0.34459045,0.34458342
1111222233334444,control_a,0.09037589,0.11164889,0.97916669,0.95833331,85,31,39,0.00000912,7,21,3,2,85,31,0.00004439,0.35294118,0.29032258,0.02866648,0.32301716,0.32297277,0.34433249,0.34427040
1111222233334444,control_a,0.09037589,0.11164889,0.97916669,0.95833331,85,31,39,0.00000912,7,21,3,4,85,31,0.00005130,0.48235294,0.51612903,0.03288574,0.32270250,0.32265121,0.34413677,0.34401598
1111222233334444,control_a,0.09037589,0.11164889,0.97916669,0.95833331,85,31,39,0.00000912,7,21,3,8,85,31,-0.00003687,0.47058824,0.51612903,0.03858776,0.32213395,0.32217082,0.34399071,0.34398440
1111222233334444,control_a,0.09037589,0.11164889,0.97916669,0.95833331,85,31,39,0.00000912,7,21,3,16,85,31,0.00005678,0.36470588,0.32258065,0.04845421,0.32081504,0.32075826,0.34278666,0.34259605
1111222233334444,control_a,0.09037589,0.11164889,0.97916669,0.95833331,85,31,39,0.00000912,7,21,3,32,85,31,-0.00002898,0.44705882,0.51612903,0.06571972,0.31683799,0.31686696,0.33811657,0.33803552
1111222233334444,control_a,0.09037589,0.11164889,0.97916669,0.95833331,85,31,39,0.00000912,7,21,3,64,85,31,-0.00022189,0.50588235,0.64516129,0.09695774,0.31111624,0.31133813,0.33329467,0.33352600
1111222233334444,control_b,0.09037589,0.11164889,0.97916669,0.95833331,66,30,36,0.00001226,14,12,4,1,66,30,-0.00000064,0.54545455,0.00000000,0.03210647,0.30030105,0.30030169,0.32176015,0.32169810
1111222233334444,control_b,0.09037589,0.11164889,0.97916669,0.95833331,66,30,36,0.00001226,14,12,4,2,66,30,0.00005596,0.37878788,0.26666667,0.03636313,0.30012973,0.30007376,0.32156918,0.32144121
1111222233334444,control_b,0.09037589,0.11164889,0.97916669,0.95833331,66,30,36,0.00001226,14,12,4,4,66,30,0.00007082,0.50000000,0.46666667,0.04196976,0.29996677,0.29989595,0.32171480,0.32147586
1111222233334444,control_b,0.09037589,0.11164889,0.97916669,0.95833331,66,30,36,0.00001226,14,12,4,8,66,30,-0.00011979,0.56060606,0.46666667,0.05051439,0.29947438,0.29959417,0.32168819,0.32180184
1111222233334444,control_b,0.09037589,0.11164889,0.97916669,0.95833331,66,30,36,0.00001226,14,12,4,16,66,30,0.00003120,0.50000000,0.50000000,0.06454482,0.29816628,0.29813508,0.32067703,0.32049699
1111222233334444,control_b,0.09037589,0.11164889,0.97916669,0.95833331,66,30,36,0.00001226,14,12,4,32,66,30,-0.00007587,0.50000000,0.46666667,0.09382721,0.29440211,0.29447798,0.31628185,0.31620054
1111222233334444,control_b,0.09037589,0.11164889,0.97916669,0.95833331,66,30,36,0.00001226,14,12,4,64,66,30,-0.00057821,0.65151515,0.73333333,0.13652280,0.28882081,0.28939902,0.31140975,0.31214178
