role,dataset_index,initialization_index,stream_seed,step,method,sample_index,stratum,kmeans_iterations,within_sse
development,0,0,,0,development_response_oracle,0,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,1,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,2,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,3,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,4,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,5,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,6,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,7,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,8,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,9,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,10,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,11,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,12,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,13,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,14,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,15,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,16,0,4,3.677632727206e0
development,0,0,,0,development_response_oracle,17,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,18,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,19,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,20,0,4,3.677632727206e0
development,0,0,,0,development_response_oracle,21,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,22,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,23,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,24,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,25,0,4,3.677632727206e0
development,0,0,,0,development_response_oracle,26,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,27,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,28,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,29,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,30,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,31,0,4,3.677632727206e0
development,0,0,,0,development_response_oracle,32,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,33,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,34,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,35,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,36,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,37,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,38,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,39,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,40,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,41,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,42,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,43,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,44,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,45,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,46,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,47,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,48,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,49,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,50,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,51,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,52,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,53,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,54,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,55,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,56,0,4,3.677632727206e0
development,0,0,,0,development_response_oracle,57,2,4,3.677632727206e0
development,0,0,,0,development_response_oracle,58,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,59,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,60,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,61,0,4,3.677632727206e0
development,0,0,,0,development_response_oracle,62,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,63,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,64,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,65,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,66,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,67,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,68,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,69,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,70,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,71,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,72,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,73,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,74,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,75,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,76,3,4,3.677632727206e0
development,0,0,,0,development_response_oracle,77,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,78,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,79,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,80,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,81,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,82,7,4,3.677632727206e0
development,0,0,,0,development_response_oracle,83,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,84,8,4,3.677632727206e0
development,0,0,,0,development_response_oracle,85,5,4,3.677632727206e0
development,0,0,,0,development_response_oracle,86,4,4,3.677632727206e0
development,0,0,,0,development_response_oracle,87,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,88,0,4,3.677632727206e0
development,0,0,,0,development_response_oracle,89,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,90,6,4,3.677632727206e0
development,0,0,,0,development_response_oracle,91,11,4,3.677632727206e0
development,0,0,,0,development_response_oracle,92,9,4,3.677632727206e0
development,0,0,,0,development_response_oracle,93,1,4,3.677632727206e0
development,0,0,,0,development_response_oracle,94,10,4,3.677632727206e0
development,0,0,,0,development_response_oracle,95,0,4,3.677632727206e0
development,0,1,,0,development_response_oracle,0,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,1,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,2,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,3,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,4,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,5,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,6,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,7,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,8,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,9,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,10,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,11,6,6,2.942965935761e0
development,0,1,,0,development_response_oracle,12,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,13,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,14,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,15,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,16,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,17,6,6,2.942965935761e0
development,0,1,,0,development_response_oracle,18,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,19,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,20,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,21,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,22,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,23,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,24,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,25,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,26,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,27,4,6,2.942965935761e0
development,0,1,,0,development_response_oracle,28,4,6,2.942965935761e0
